date,energy_index
2022-11-06,257.133
2022-11-07,257.188
2022-11-08,257.243
2022-11-09,257.297
2022-11-10,257.352
2022-11-11,257.407
2022-11-12,257.461
2022-11-13,257.516
2022-11-14,257.571
2022-11-15,257.625
2022-11-16,257.68
2022-11-17,257.735
2022-11-18,257.789
2022-11-19,257.844
2022-11-20,257.899
2022-11-21,257.953
2022-11-22,258.008
2022-11-23,258.063
2022-11-24,258.117
2022-11-25,258.172
2022-11-26,258.227
2022-11-27,258.281
2022-11-28,258.336
2022-11-29,258.391
2022-11-30,258.445
2022-12-01,258.5
2022-12-02,257.364
2022-12-03,256.227
2022-12-04,255.091
2022-12-05,253.954
2022-12-06,252.818
2022-12-07,251.681
2022-12-08,250.545
2022-12-09,249.408
2022-12-10,248.272
2022-12-11,247.135
2022-12-12,245.999
2022-12-13,244.863
2022-12-14,243.726
2022-12-15,242.59
2022-12-16,241.453
2022-12-17,240.317
2022-12-18,239.18
2022-12-19,238.044
2022-12-20,236.907
2022-12-21,235.771
2022-12-22,234.635
2022-12-23,233.498
2022-12-24,232.362
2022-12-25,231.225
2022-12-26,230.089
2022-12-27,228.952
2022-12-28,227.816
2022-12-29,226.679
2022-12-30,225.543
2022-12-31,224.406
2023-01-01,223.27
2023-01-02,222.575
2023-01-03,221.88
2023-01-04,221.185
2023-01-05,220.489
2023-01-06,219.794
2023-01-07,219.099
2023-01-08,218.404
2023-01-09,217.709
2023-01-10,217.014
2023-01-11,216.318
2023-01-12,215.623
2023-01-13,214.928
2023-01-14,214.233
2023-01-15,213.538
2023-01-16,212.843
2023-01-17,212.147
2023-01-18,211.452
2023-01-19,210.757
2023-01-20,210.062
2023-01-21,209.367
2023-01-22,208.672
2023-01-23,207.976
2023-01-24,207.281
2023-01-25,206.586
2023-01-26,205.891
2023-01-27,205.196
2023-01-28,204.501
2023-01-29,203.805
2023-01-30,203.11
2023-01-31,202.415
2023-02-01,201.72
2023-02-02,201.159
2023-02-03,200.599
2023-02-04,200.038
2023-02-05,199.477
2023-02-06,198.916
2023-02-07,198.356
2023-02-08,197.795
2023-02-09,197.234
2023-02-10,196.674
2023-02-11,196.113
2023-02-12,195.552
2023-02-13,194.991
2023-02-14,194.431
2023-02-15,193.87
2023-02-16,193.309
2023-02-17,192.749
2023-02-18,192.188
2023-02-19,191.627
2023-02-20,191.066
2023-02-21,190.506
2023-02-22,189.945
2023-02-23,189.384
2023-02-24,188.824
2023-02-25,188.263
2023-02-26,187.702
2023-02-27,187.141
2023-02-28,186.581
2023-03-01,186.02
2023-03-02,186.225
2023-03-03,186.43
2023-03-04,186.635
2023-03-05,186.839
2023-03-06,187.044
2023-03-07,187.249
2023-03-08,187.454
2023-03-09,187.659
2023-03-10,187.864
2023-03-11,188.068
2023-03-12,188.273
2023-03-13,188.478
2023-03-14,188.683
2023-03-15,188.888
2023-03-16,189.093
2023-03-17,189.297
2023-03-18,189.502
2023-03-19,189.707
2023-03-20,189.912
2023-03-21,190.117
2023-03-22,190.322
2023-03-23,190.526
2023-03-24,190.731
2023-03-25,190.936
2023-03-26,191.141
2023-03-27,191.346
2023-03-28,191.551
2023-03-29,191.755
2023-03-30,191.96
2023-03-31,192.165
2023-04-01,192.37
2023-04-02,191.599
2023-04-03,190.827
2023-04-04,190.056
2023-04-05,189.285
2023-04-06,188.513
2023-04-07,187.742
2023-04-08,186.971
2023-04-09,186.199
2023-04-10,185.428
2023-04-11,184.657
2023-04-12,183.885
2023-04-13,183.114
2023-04-14,182.343
2023-04-15,181.571
2023-04-16,180.8
2023-04-17,180.029
2023-04-18,179.257
2023-04-19,178.486
2023-04-20,177.715
2023-04-21,176.943
2023-04-22,176.172
2023-04-23,175.401
2023-04-24,174.629
2023-04-25,173.858
2023-04-26,173.087
2023-04-27,172.315
2023-04-28,171.544
2023-04-29,170.773
2023-04-30,170.001
2023-05-01,169.23
2023-05-02,169.12
2023-05-03,169.01
2023-05-04,168.9
2023-05-05,168.79
2023-05-06,168.68
2023-05-07,168.57
2023-05-08,168.46
2023-05-09,168.35
2023-05-10,168.24
2023-05-11,168.13
2023-05-12,168.02
2023-05-13,167.91
2023-05-14,167.8
2023-05-15,167.69
2023-05-16,167.58
2023-05-17,167.47
2023-05-18,167.36
2023-05-19,167.25
2023-05-20,167.14
2023-05-21,167.03
2023-05-22,166.92
2023-05-23,166.81
2023-05-24,166.7
2023-05-25,166.59
2023-05-26,166.48
2023-05-27,166.37
2023-05-28,166.26
2023-05-29,166.15
2023-05-30,166.04
2023-05-31,165.93
2023-06-01,165.82
2023-06-02,166.125
2023-06-03,166.431
2023-06-04,166.736
2023-06-05,167.041
2023-06-06,167.347
2023-06-07,167.652
2023-06-08,167.957
2023-06-09,168.263
2023-06-10,168.568
2023-06-11,168.873
2023-06-12,169.179
2023-06-13,169.484
2023-06-14,169.789
2023-06-15,170.095
2023-06-16,170.4
2023-06-17,170.705
2023-06-18,171.011
2023-06-19,171.316
2023-06-20,171.621
2023-06-21,171.927
2023-06-22,172.232
2023-06-23,172.537
2023-06-24,172.843
2023-06-25,173.148
2023-06-26,173.453
2023-06-27,173.759
2023-06-28,174.064
2023-06-29,174.369
2023-06-30,174.675
2023-07-01,174.98
2023-07-02,175.407
2023-07-03,175.834
2023-07-04,176.261
2023-07-05,176.688
2023-07-06,177.115
2023-07-07,177.543
2023-07-08,177.97
2023-07-09,178.397
2023-07-10,178.824
2023-07-11,179.251
2023-07-12,179.678
2023-07-13,180.105
2023-07-14,180.532
2023-07-15,180.959
2023-07-16,181.386
2023-07-17,181.814
2023-07-18,182.241
2023-07-19,182.668
2023-07-20,183.095
2023-07-21,183.522
2023-07-22,183.949
2023-07-23,184.376
2023-07-24,184.803
2023-07-25,185.23
2023-07-26,185.657
2023-07-27,186.085
2023-07-28,186.512
2023-07-29,186.939
2023-07-30,187.366
2023-07-31,187.793
2023-08-01,188.22
2023-08-02,188.747
2023-08-03,189.274
2023-08-04,189.8
2023-08-05,190.327
2023-08-06,190.854
2023-08-07,191.381
2023-08-08,191.907
2023-08-09,192.434
2023-08-10,192.961
2023-08-11,193.488
2023-08-12,194.015
2023-08-13,194.541
2023-08-14,195.068
2023-08-15,195.595
2023-08-16,196.122
2023-08-17,196.648
2023-08-18,197.175
2023-08-19,197.702
2023-08-20,198.229
2023-08-21,198.755
2023-08-22,199.282
2023-08-23,199.809
2023-08-24,200.336
2023-08-25,200.863
2023-08-26,201.389
2023-08-27,201.916
2023-08-28,202.443
2023-08-29,202.97
2023-08-30,203.496
2023-08-31,204.023
2023-09-01,204.55
2023-09-02,204.495
2023-09-03,204.439
2023-09-04,204.384
2023-09-05,204.329
2023-09-06,204.273
2023-09-07,204.218
2023-09-08,204.163
2023-09-09,204.107
2023-09-10,204.052
2023-09-11,203.997
2023-09-12,203.941
2023-09-13,203.886
2023-09-14,203.831
2023-09-15,203.775
2023-09-16,203.72
2023-09-17,203.665
2023-09-18,203.609
2023-09-19,203.554
2023-09-20,203.499
2023-09-21,203.443
2023-09-22,203.388
2023-09-23,203.333
2023-09-24,203.277
2023-09-25,203.222
2023-09-26,203.167
2023-09-27,203.111
2023-09-28,203.056
2023-09-29,203.001
2023-09-30,202.945
2023-10-01,202.89
2023-10-02,202.468
2023-10-03,202.045
2023-10-04,201.623
2023-10-05,201.201
2023-10-06,200.779
2023-10-07,200.356
2023-10-08,199.934
2023-10-09,199.512
2023-10-10,199.09
2023-10-11,198.667
2023-10-12,198.245
2023-10-13,197.823
2023-10-14,197.401
2023-10-15,196.978
2023-10-16,196.556
2023-10-17,196.134
2023-10-18,195.712
2023-10-19,195.289
2023-10-20,194.867
2023-10-21,194.445
2023-10-22,194.023
2023-10-23,193.6
2023-10-24,193.178
2023-10-25,192.756
2023-10-26,192.334
2023-10-27,191.911
2023-10-28,191.489
2023-10-29,191.067
2023-10-30,190.645
2023-10-31,190.222
2023-11-01,189.8
2023-11-02,189.313
2023-11-03,188.825
2023-11-04,188.338
2023-11-05,187.851
2023-11-06,187.363
2023-11-07,186.876
2023-11-08,186.389
2023-11-09,185.901
2023-11-10,185.414
2023-11-11,184.927
2023-11-12,184.439
2023-11-13,183.952
2023-11-14,183.465
2023-11-15,182.977
2023-11-16,182.49
2023-11-17,182.003
2023-11-18,181.515
2023-11-19,181.028
2023-11-20,180.541
2023-11-21,180.053
2023-11-22,179.566
2023-11-23,179.079
2023-11-24,178.591
2023-11-25,178.104
2023-11-26,177.617
2023-11-27,177.129
2023-11-28,176.642
2023-11-29,176.155
2023-11-30,175.667
2023-12-01,175.18
2023-12-02,175.131
2023-12-03,175.082
2023-12-04,175.033
2023-12-05,174.984
2023-12-06,174.935
2023-12-07,174.886
2023-12-08,174.837
2023-12-09,174.788
2023-12-10,174.739
2023-12-11,174.69
2023-12-12,174.641
2023-12-13,174.592
2023-12-14,174.543
2023-12-15,174.494
2023-12-16,174.445
2023-12-17,174.395
2023-12-18,174.346
2023-12-19,174.297
2023-12-20,174.248
2023-12-21,174.199
